"full_fips","DVP_2008","DVP_2012","DVP_2016","DVP_2020","RVP_2008","RVP_2012","RVP_2016","RVP_2020","full_fips","DVP_2008","DVP_2012","DVP_2016","DVP_2020","RVP_2008","RVP_2012","RVP_2016","RVP_2020"
"06025",63.3010217448258,66.2991585999525,72.0764214620753,62.4547501125619,36.6989782551742,33.7008414000475,27.9235785379247,37.5452498874381,"06025",63.3010217448258,66.2991585999525,72.0764214620753,62.4547501125619,36.6989782551742,33.7008414000475,27.9235785379247,37.5452498874381
"06101",41.4936732357764,40.219040707264,41.3512285484604,41.6055771165732,58.5063267642236,59.780959292736,58.6487714515396,58.3944228834268,"06101",41.4936732357764,40.219040707264,41.3512285484604,41.6055771165732,58.5063267642236,59.780959292736,58.6487714515396,58.3944228834268
"23001",57.7726866338847,56.5549078674543,44.9046204362442,48.548826579942,42.2273133661153,43.4450921325457,55.0953795637558,51.451173420058,"23001",57.7726866338847,56.5549078674543,44.9046204362442,48.548826579942,42.2273133661153,43.4450921325457,55.0953795637558,51.451173420058
"25021",59.4564405835575,58.1374350663445,64.7735737511085,68.5669558411063,40.5435594164425,41.8625649336555,35.2264262488915,31.4330441588937,"25021",59.4564405835575,58.1374350663445,64.7735737511085,68.5669558411063,40.5435594164425,41.8625649336555,35.2264262488915,31.4330441588937
"27109",51.6746092133542,51.6450045949849,50.417037366548,55.4937600215288,48.3253907866458,48.3549954050151,49.582962633452,44.5062399784712,"27109",51.6746092133542,51.6450045949849,50.417037366548,55.4937600215288,48.3253907866458,48.3549954050151,49.582962633452,44.5062399784712
"35005",37.5183083119736,33.5364615072111,30.0662827338911,28.9558469846168,62.4816916880264,66.463538492789,69.9337172661089,71.0441530153832,"35005",37.5183083119736,33.5364615072111,30.0662827338911,28.9558469846168,62.4816916880264,66.463538492789,69.9337172661089,71.0441530153832
"36093",56.4744255437406,58.1025673374125,53.097801781967,58.0075403655438,43.5255744562594,41.8974326625875,46.902198218033,41.9924596344562,"36093",56.4744255437406,58.1025673374125,53.097801781967,58.0075403655438,43.5255744562594,41.8974326625875,46.902198218033,41.9924596344562
"37021",57.046068243188,56.3530312943843,57.523176384484,60.7291397937418,42.953931756812,43.6469687056157,42.476823615516,39.2708602062582,"37021",57.046068243188,56.3530312943843,57.523176384484,60.7291397937418,42.953931756812,43.6469687056157,42.476823615516,39.2708602062582
"37119",62.2742186235612,61.3299394048611,65.4465872733736,67.8440315941706,37.7257813764388,38.6700605951389,34.5534127266264,32.1559684058293,"37119",62.2742186235612,61.3299394048611,65.4465872733736,67.8440315941706,37.7257813764388,38.6700605951389,34.5534127266264,32.1559684058293
"39061",53.5274502487267,53.2184884320259,55.400067799396,58.0607895282823,46.4725497512733,46.7815115679741,44.599932200604,41.9392104717177,"39061",53.5274502487267,53.2184884320259,55.400067799396,58.0607895282823,46.4725497512733,46.7815115679741,44.599932200604,41.9392104717177
"41039",64.111833228389,62.1526873777708,60.2807185916084,62.5825562873192,35.888166771611,37.8473126222292,39.7192814083916,37.4174437126808,"41039",64.111833228389,62.1526873777708,60.2807185916084,62.5825562873192,35.888166771611,37.8473126222292,39.7192814083916,37.4174437126808
"42115",44.0780477542863,39.1034677191993,28.4389918951926,29.0817516205755,55.9219522457137,60.8965322808007,71.5610081048074,70.9182483794245,"42115",44.0780477542863,39.1034677191993,28.4389918951926,29.0817516205755,55.9219522457137,60.8965322808007,71.5610081048074,70.9182483794245
"46099",50.3711009116312,46.2221392769543,42.1317770773402,45.114843253725,49.6288990883688,53.7778607230457,57.8682229226598,54.885156746275,"46099",50.3711009116312,46.2221392769543,42.1317770773402,45.114843253725,49.6288990883688,53.7778607230457,57.8682229226598,54.885156746275
"47009",30.011411931371,26.7369509043928,24.4289468364665,27.4605289352384,69.988588068629,73.2630490956072,75.5710531635334,72.5394710647616,"47009",30.011411931371,26.7369509043928,24.4289468364665,27.4605289352384,69.988588068629,73.2630490956072,75.5710531635334,72.5394710647616
"48085",37.0978825898811,33.9973114584835,41.1616974692511,47.788678214554,62.9021174101189,66.0026885415165,58.8383025307489,52.211321785446,"48085",37.0978825898811,33.9973114584835,41.1616974692511,47.788678214554,62.9021174101189,66.0026885415165,58.8383025307489,52.211321785446
"49021",20.6516227180527,13.139221923171,17.4862607950896,20.4849043172396,79.3483772819473,86.860778076829,82.5137392049104,79.5150956827603,"49021",20.6516227180527,13.139221923171,17.4862607950896,20.4849043172396,79.3483772819473,86.860778076829,82.5137392049104,79.5150956827603
"49057",35.8709172478372,26.7886316073719,36.503803301455,38.1596714301789,64.1290827521628,73.2113683926281,63.496196698545,61.8403285698211,"49057",35.8709172478372,26.7886316073719,36.503803301455,38.1596714301789,64.1290827521628,73.2113683926281,63.496196698545,61.8403285698211
"51143",37.866976281307,36.0479399754324,29.9125288589731,29.8677139313766,62.133023718693,63.9520600245676,70.0874711410269,70.1322860686234,"51143",37.866976281307,36.0479399754324,29.9125288589731,29.8677139313766,62.133023718693,63.9520600245676,70.0874711410269,70.1322860686234
"53029",53.1723073956224,52.2795316797702,53.1642358909322,56.2231759656652,46.8276926043776,47.7204683202298,46.8357641090679,43.7768240343348,"53029",53.1723073956224,52.2795316797702,53.1642358909322,56.2231759656652,46.8276926043776,47.7204683202298,46.8357641090679,43.7768240343348
