"vid_id","transcript_year","place_fips","place_name","place_govt","state_name","state_fips","county_name","county_fips","stcounty_fips"
"AwS3Gw0kXc4","2021","5350360","Oak Harbor city","MUNICIPAL COUNCIL","Washington","53","Island County","029","53029"
"Xns5LJoFE5w","2017","3927706","Forest Park city","MUNICIPAL COUNCIL","Ohio","39","Hamilton County","061","39061"
"pwm-Bxu7x0c","2020","4965110","Roy city","MUNICIPAL COUNCIL","Utah","49","Weber County","057","49057"
"v1kOaefXSVU","2019","2762806","Stewartville city","MUNICIPAL COUNCIL","Minnesota","27","Olmsted County","109","27109"
"lK_xlo9-kho","2015","0686972","Yuba City city","MUNICIPAL COUNCIL","California","06","Sutter County","101","06101"
"1XBSQQ6PSeM","2023","4911320","Cedar City city","MUNICIPAL COUNCIL","Utah","49","Iron County","021","49021"
"t2x_NKrjF2I","2020","4859576","Princeton city","MUNICIPAL COUNCIL","Texas","48","Collin County","085","48085"
"Hp6uSuZHGTI","2013","4747009","Blount County","COMMITTEE","Tennessee","47","Blount County","009","47009"
"2P-jmRWciZE","2022","0608058","Brawley city","MUNICIPAL COUNCIL","California","06","Imperial County","025","06025"
"QCSzjZ2U72w","2018","3737021","Buncombe County","BOARD OF ALDERMEN","North Carolina","37","Buncombe County","021","37021"
"dddGH9NLsXc","2023","5151143","Pittsylvania County","PLANNING/ZONING BOARD/COMMISSION","Virginia","51","Pittsylvania County","143","51143"
"CSWs-oi8eZU","2018","4965110","Roy city","MUNICIPAL COUNCIL","Utah","49","Weber County","057","49057"
"Ag8P57AVuHM","2013","4123850","Eugene city","MUNICIPAL COUNCIL","Oregon","41","Lane County","039","41039"
"c8EvqJWX4XM","2023","3712000","Charlotte city","MUNICIPAL COUNCIL","North Carolina","37","Mecklenburg County","119","37119"
"22LMYKNZXLw","2020","4242115","Susquehanna County","BOARD OF COMMISSIONERS","Pennsylvania","42","Susquehanna County","115","42115"
"chhFaz948tw","2021","2302060","Auburn city","MUNICIPAL COUNCIL","Maine","23","Androscoggin County","001","23001"
"IJWlo0AGZ40","2022","2517405","Dover town","BOARD OF SELECTMEN","Massachusetts","25","Norfolk County","021","25021"
"SWNYvQg0UyQ","2021","4627540","Hartford city","MUNICIPAL COUNCIL","South Dakota","46","Minnehaha County","099","46099"
"QtyLle1mVc0","2021","3564930","Roswell city","COMMITTEE","New Mexico","35","Chaves County","005","35005"
"0GHyTT3dPU0","2019","3665508","Schenectady city","COMMITTEE","New York","36","Schenectady County","093","36093"
