"transcript_year","prop_scriptCCYear","prop_ccMentionYear","n_county","n_counties_ccMention","prop_countiesCCMention"
"2013",0.804893754024469,2.80103026400515,201,15,0.0746268656716418
"2014",1.47611379495437,4.29414922168545,235,28,0.119148936170213
"2015",1.28981825288255,3.06820402579637,281,21,0.0747330960854092
"2016",1.27420998980632,3.04111450900442,316,26,0.0822784810126582
"2017",2.28590178278464,5.49053921032484,350,71,0.202857142857143
"2018",2.50081195193245,5.63494641117246,366,86,0.234972677595628
"2019",4.33333333333333,11.1031746031746,358,117,0.326815642458101
"2020",3.43390901149116,8.08413413077078,359,116,0.323119777158774
"2021",5.16428763802855,14.1597091300835,338,124,0.366863905325444
"2022",6.18481688091196,16.1128628021667,338,138,0.408284023668639
"2023",8.25286937511386,18.8741118600838,274,106,0.386861313868613
"2010",0.207253886010363,0.207253886010363,47,2,0.0425531914893617
"2011",0.727272727272727,1.90909090909091,80,5,0.0625
"2012",0.987925356750823,3.18331503841932,134,4,0.0298507462686567
