"GEOID","NAME","ACSyear","medage","totalpop","medgrossrent","medhhic","perc_white","perc_black","perc_other","edu_percentPop","GEOID","NAME","ACSyear","medage","totalpop","medgrossrent","medhhic","perc_white","perc_black","perc_other","edu_percentPop"
"06025","Imperial County, California",2010,31.6,168052,682,47304,69.2547544807559,3.46559398281484,3.35372384738057,11.0626472758432,"06025","Imperial County, California",2010,31.6,168052,682,47304,69.2547544807559,3.46559398281484,3.35372384738057,11.0626472758432
"06101","Sutter County, California",2010,34.2,93420,856,31373,65.9526867908371,1.61100406765147,15.0481695568401,18.1042603296939,"06101","Sutter County, California",2010,34.2,93420,856,31373,65.9526867908371,1.61100406765147,15.0481695568401,18.1042603296939
"23001","Androscoggin County, Maine",2010,39.4,107882,644,44040,93.4734246676925,1.66107413655661,0.901911347583471,18.1272130661278,"23001","Androscoggin County, Maine",2010,39.4,107882,644,44040,93.4734246676925,1.66107413655661,0.901911347583471,18.1272130661278
"25021","Norfolk County, Massachusetts",2010,40.2,662077,1205,255180,83.5757774397842,5.43879337297625,8.42545504525909,38.1124854057761,"25021","Norfolk County, Massachusetts",2010,40.2,662077,1205,255180,83.5757774397842,5.43879337297625,8.42545504525909,38.1124854057761
"27109","Olmsted County, Minnesota",2010,36,141244,728,56066,87.4847781144686,4.5290419416046,5.56554614709297,32.8976806094418,"27109","Olmsted County, Minnesota",2010,36,141244,728,56066,87.4847781144686,4.5290419416046,5.56554614709297,32.8976806094418
"35005","Chaves County, New Mexico",2010,35.2,64268,566,23479,80.1892076927865,0.594386008589033,2.23128150868239,14.3057197983444,"35005","Chaves County, New Mexico",2010,35.2,64268,566,23479,80.1892076927865,0.594386008589033,2.23128150868239,14.3057197983444
"36093","Schenectady County, New York",2010,39.7,153268,789,58583,81.2883315499648,9.52775530443406,4.35185426834042,27.3083748727719,"36093","Schenectady County, New York",2010,39.7,153268,789,58583,81.2883315499648,9.52775530443406,4.35185426834042,27.3083748727719
"37021","Buncombe County, North Carolina",2010,40.6,233249,738,99309,88.7489335431234,6.57323289703278,1.44009191893642,27.9611059425764,"37021","Buncombe County, North Carolina",2010,40.6,233249,738,99309,88.7489335431234,6.57323289703278,1.44009191893642,27.9611059425764
"37119","Mecklenburg County, North Carolina",2010,33.8,882761,829,350392,58.3488622628322,30.1789499082991,4.92137736035008,30.9438228467275,"37119","Mecklenburg County, North Carolina",2010,33.8,882761,829,350392,58.3488622628322,30.1789499082991,4.92137736035008,30.9438228467275
"39061","Hamilton County, Ohio",2010,36.9,802194,652,327864,69.7159290645405,25.3033555474112,2.16369107722072,26.1982762274462,"39061","Hamilton County, Ohio",2010,36.9,802194,652,327864,69.7159290645405,25.3033555474112,2.16369107722072,26.1982762274462
"41039","Lane County, Oregon",2010,38.5,347156,769,143894,89.2953024000737,0.95403795411861,3.88730138612036,24.2107294703246,"41039","Lane County, Oregon",2010,38.5,347156,769,143894,89.2953024000737,0.95403795411861,3.88730138612036,24.2107294703246
"42115","Susquehanna County, Pennsylvania",2010,44.1,43343,603,17225,98.3665182382392,0.334540756292827,0.371455598366518,16.6209076436795,"42115","Susquehanna County, Pennsylvania",2010,44.1,43343,603,17225,98.3665182382392,0.334540756292827,0.371455598366518,16.6209076436795
"46099","Minnehaha County, South Dakota",2010,34.8,165799,648,65462,89.1923352975591,3.21835475485377,3.94272583067449,25.3318777555956,"46099","Minnehaha County, South Dakota",2010,34.8,165799,648,65462,89.1923352975591,3.21835475485377,3.94272583067449,25.3318777555956
"47009","Blount County, Tennessee",2010,40.8,121140,639,48151,92.9692917285785,2.87683671784712,0.964999174508833,18.7336965494469,"47009","Blount County, Tennessee",2010,40.8,121140,639,48151,92.9692917285785,2.87683671784712,0.964999174508833,18.7336965494469
"48085","Collin County, Texas",2010,34.6,738745,968,268042,75.6713074200164,8.00465654589879,11.4084020873238,35.7143533966389,"48085","Collin County, Texas",2010,34.6,738745,968,268042,75.6713074200164,8.00465654589879,11.4084020873238,35.7143533966389
"49021","Iron County, Utah",2010,26.1,44439,643,15155,93.3976912171741,0.189023155336529,3.47892616845564,18.4972659150746,"49021","Iron County, Utah",2010,26.1,44439,643,15155,93.3976912171741,0.189023155336529,3.47892616845564,18.4972659150746
"49057","Weber County, Utah",2010,30.6,222849,702,77656,88.9400446041939,1.46197649529502,2.27822426845083,19.1138394159274,"49057","Weber County, Utah",2010,30.6,222849,702,77656,88.9400446041939,1.46197649529502,2.27822426845083,19.1138394159274
"51143","Pittsylvania County, Virginia",2010,43.4,63147,552,26563,75.0439450805264,22.450789427843,0.296134416520183,14.4662454273362,"51143","Pittsylvania County, Virginia",2010,43.4,63147,552,26563,75.0439450805264,22.450789427843,0.296134416520183,14.4662454273362
"53029","Island County, Washington",2010,42.4,78633,941,32976,86.3924815281116,1.93303066142714,5.26369336029402,27.7440769142726,"53029","Island County, Washington",2010,42.4,78633,941,32976,86.3924815281116,1.93303066142714,5.26369336029402,27.7440769142726
