"full_fips","election_year","DVP","RVP","full_fips","election_year","DVP","RVP"
"06025",2008,63.3010217448258,36.6989782551742,"48085",2008,37.0978825898811,62.9021174101189
"06025",2012,66.2991585999525,33.7008414000475,"48085",2012,33.9973114584835,66.0026885415165
"06025",2016,72.0764214620753,27.9235785379247,"48085",2016,41.1616974692511,58.8383025307489
"06025",2020,62.4547501125619,37.5452498874381,"48085",2020,47.788678214554,52.211321785446
"06101",2008,41.4936732357764,58.5063267642236,"49021",2008,20.6516227180527,79.3483772819473
"06101",2012,40.219040707264,59.780959292736,"49021",2012,13.139221923171,86.860778076829
"06101",2016,41.3512285484604,58.6487714515396,"49021",2016,17.4862607950896,82.5137392049104
"06101",2020,41.6055771165732,58.3944228834268,"49021",2020,20.4849043172396,79.5150956827603
"23001",2008,57.7726866338847,42.2273133661153,"49057",2008,35.8709172478372,64.1290827521628
"23001",2012,56.5549078674543,43.4450921325457,"49057",2012,26.7886316073719,73.2113683926281
"23001",2016,44.9046204362442,55.0953795637558,"49057",2016,36.503803301455,63.496196698545
"23001",2020,48.548826579942,51.451173420058,"49057",2020,38.1596714301789,61.8403285698211
"25021",2008,59.4564405835575,40.5435594164425,"51143",2008,37.866976281307,62.133023718693
"25021",2012,58.1374350663445,41.8625649336555,"51143",2012,36.0479399754324,63.9520600245676
"25021",2016,64.7735737511085,35.2264262488915,"51143",2016,29.9125288589731,70.0874711410269
"25021",2020,68.5669558411063,31.4330441588937,"51143",2020,29.8677139313766,70.1322860686234
"27109",2008,51.6746092133542,48.3253907866458,"53029",2008,53.1723073956224,46.8276926043776
"27109",2012,51.6450045949849,48.3549954050151,"53029",2012,52.2795316797702,47.7204683202298
"27109",2016,50.417037366548,49.582962633452,"53029",2016,53.1642358909322,46.8357641090679
"27109",2020,55.4937600215288,44.5062399784712,"53029",2020,56.2231759656652,43.7768240343348
